[410294]: 11776ms SPX_TRACE_INFO:  usp_connection.cpp:485 Connect: entering...
[410294]: 11776ms SPX_TRACE_INFO:  usp_connection.cpp:502 Adding subscription key headers
[410294]: 11776ms SPX_TRACE_INFO:  usp_connection.cpp:537 Set a user defined HTTP header 'User-agent':'SpeechSDK-Python/1.40.0 Linux Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 6.6.87.2-microsoft-standard-WSL2'
[410294]: 11777ms SPX_TRACE_INFO:  usp_connection.cpp:552 connectionUrl=wss://localhost:8443/
[410294]: 11777ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxTelemetry' as '151041793'
[410294]: 11777ms SPX_DBG_TRACE_SCOPE_ENTER:  web_socket.cpp:216 CSpxWebSocket
[410294]: 11777ms SPX_DBG_TRACE_SCOPE_EXIT:  web_socket.cpp:216 CSpxWebSocket
[410294]: 11777ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxWebSocket' as '482598724'
[410294]: 11777ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:31 UwsWebSocket
[410294]: 11777ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:31 UwsWebSocket
[410294]: 11777ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:43 Initialize
[410294]: 11777ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:43 Initialize
[410294]: 11777ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 SetRequestHeader
[410294]: 11777ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 SetRequestHeader
[410294]: 11777ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 SetRequestHeader
[410294]: 11777ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 SetRequestHeader
[410294]: 11777ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 SetRequestHeader
[410294]: 11777ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 SetRequestHeader
[410294]: 11777ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:215 SetOption
[410294]: 11777ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:215 SetOption
[410294]: 11777ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:215 SetOption
[410294]: 11777ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:215 SetOption
[410294]: 11777ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:215 SetOption
[410294]: 11777ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:215 SetOption
